n,Budget,MaxValue,MaxValueDP,MaxValueDP Running Time,2-Approximation,2-Approximation Running Time,MinCostDP,MinCostDP Running Time,FPTAS,FPTAS Running Time
40,3374,994,7347,388334,7211,17005,7347,2320038,7268,193853
40,14641,976,18749,1793416,18726,17769,18749,2259866,18519,199201
40,20940,977,20650,2708562,20650,20185,20650,2397390,20443,204640
40,1329,928,6704,149430,6473,20715,6704,2295794,6635,204305
40,17891,999,18153,2208538,18153,23448,18153,2282759,17932,192734
40,12617,983,16649,1648341,16538,19921,16649,2258196,16489,193950
40,1399,978,4903,149976,4671,16213,4903,2218872,4865,195053
40,11401,995,17949,1357373,17929,22811,17949,2305537,17760,191957
40,9872,981,17030,1175352,17024,16916,17030,2453326,16848,192915
40,7759,989,13547,920874,13547,18162,13547,2986935,13413,197280
40,11992,971,17599,1454456,17599,17697,17599,2259048,17429,192177
40,16386,923,18495,2097502,18495,19284,18495,2131765,18275,192562
40,5745,976,12994,675201,12994,17275,12994,2240969,12871,191901
40,1783,950,5996,192969,5594,15849,5996,2161214,5949,192626
40,15310,989,18944,1876644,18922,24660,18944,4126624,18704,343875
40,9825,993,14389,1706856,14271,20197,14389,4496591,14261,336903
40,16774,973,21092,3020290,21055,24839,21092,4025463,20822,377520
40,8335,992,14486,1454308,14380,24005,14486,4138324,14359,432607
40,14758,941,15558,2566572,15519,18027,15558,3796129,15338,339505
40,8296,981,14259,1401097,14197,21396,14259,4599710,14150,360249
40,19317,996,21911,3296421,21911,27307,21911,4099628,21613,363963
40,12052,998,18075,2118492,18075,23221,18075,4576659,17901,370295
40,18812,990,20541,3190885,20475,20949,20541,4152050,20369,432680
40,9230,949,13868,1585086,13699,25899,13868,3982408,13736,376602
40,8977,990,14601,1838176,14601,27283,14601,4255435,14503,338847
40,18176,995,19864,5556294,19839,35863,19864,5649877,19651,459044
40,2648,989,11433,506180,11433,38891,11433,4685736,11361,475631
40,2070,962,7573,362388,7464,52753,7573,4251749,7491,405593
40,1004,992,3668,156832,3668,37771,3668,4465282,3645,365258
40,18708,987,18094,3156533,18059,54452,18094,6575008,17852,599790
40,15704,995,18703,3681240,18703,43124,18703,4979553,18482,388034
40,14637,974,18277,2642424,18218,31465,18277,4210885,18104,357388
40,5037,958,9856,861248,9801,21679,9856,6655507,9783,525505
40,6949,991,14355,1635755,14244,64559,14355,5471865,14233,497606
40,22491,935,19447,4333313,19447,38434,19447,4112829,19225,409655
40,14459,960,18166,2948129,18166,26515,18166,4221150,18000,404740
40,1792,998,6258,291384,6110,27247,6258,5182737,6200,431162
40,14230,963,15729,2778571,15729,32527,15729,4426051,15540,372952
40,20314,961,19016,3777013,19016,31184,19016,4575573,18787,391464
40,16670,980,20290,2969252,20290,37058,20290,4988096,20065,430605
40,2687,994,10659,458528,10651,30417,10659,4480420,10573,405588
40,19753,926,16475,4394331,16475,34563,16475,5179342,16297,438046
40,2041,999,9381,401041,9381,35434,9381,4786967,9290,393163
40,13133,970,16622,2319155,16622,32948,16622,4757056,16441,761342
50,2589,935,8408,1099238,8408,58397,8408,11047441,8358,407506
50,8460,974,16050,1441402,15854,43853,16050,3626557,15944,380546
50,16854,969,20604,2554631,20581,24255,20604,4325138,20465,445962
50,18292,954,22232,2913510,22232,28732,22232,3804982,22027,383752
50,11960,973,18489,1804118,18489,28666,18489,3740831,18360,379294
50,18997,965,22398,2927800,22395,27152,22398,3847886,22204,475614
50,22715,957,27651,6022353,27651,37857,27651,5117287,27408,439110
50,11587,974,19596,1960255,19596,23390,19596,3761847,19460,372353
50,20682,992,27265,3124058,27265,20997,27265,4321678,27032,416283
50,3043,992,12322,533091,12322,23403,12322,3585054,12241,369903
50,11849,999,20766,1773312,20766,19536,20766,3831573,20599,371738
50,13194,979,18618,2089243,18618,23440,18618,3544338,18503,370689
50,9716,977,18531,1432465,18435,24549,18531,4069806,18406,373580
50,1646,997,5303,224116,5103,17516,5303,3790423,5254,374190
50,16866,1000,24043,2542934,23942,23455,24043,3586402,23870,373328
50,15754,972,19941,2726012,19825,46325,19941,4709195,19789,531628
50,22311,990,25385,4394734,25336,40096,25385,4555570,25185,374571
50,14682,978,20745,2240034,20743,30481,20745,3656768,20567,370101
50,24478,978,22473,3919298,22424,28454,22473,3508177,22239,398365
50,11425,998,19929,1783950,19897,27854,19929,4916612,19790,397892
50,12945,995,23122,2080363,22946,58258,23122,4290061,22984,411350
50,21082,982,21568,3918224,21519,31684,21568,4259620,21348,475845
50,2043,953,7502,339724,7391,29408,7502,3798923,7442,405201
50,26188,980,22835,4387384,22835,31863,22835,4060183,22608,434137
50,13915,993,22395,2595279,22340,31763,22395,4162409,22253,429636
50,13424,994,21607,2242575,21607,31792,21607,4067637,21410,411161
50,21102,986,24521,3552732,24499,31470,24521,3879765,24354,412883
50,8326,924,14726,1308694,14722,35655,14726,3663864,14626,424181
